timestamp,messageType,latency,statusCode,roomId
1772608105215,TEXT,50,OK,1
1772608105215,TEXT,48,OK,2
1772608105215,TEXT,50,OK,10
1772608105215,TEXT,51,OK,17
1772608105216,TEXT,51,OK,12
1772608105216,TEXT,45,OK,5
1772608105218,TEXT,28,OK,13
1772608105234,TEXT,21,OK,4
1772608105236,LEAVE,23,OK,1
1772608105236,LEAVE,23,OK,18
1772608105237,TEXT,24,OK,12
1772608105242,TEXT,28,OK,6
1772608105242,TEXT,28,OK,1
1772608105242,TEXT,88,OK,18
1772608105249,LEAVE,32,OK,5
1772608105249,TEXT,33,OK,18
1772608105249,TEXT,32,OK,6
1772608105249,TEXT,32,OK,6
1772608105249,TEXT,82,OK,2
1772608105249,TEXT,32,OK,15
1772608105249,TEXT,28,OK,13
1772608105249,TEXT,35,OK,18
1772608105249,TEXT,28,OK,13
1772608105249,TEXT,32,OK,17
1772608105253,TEXT,28,OK,12
1772608105255,TEXT,30,OK,9
1772608105255,TEXT,28,OK,12
1772608105255,TEXT,26,OK,14
1772608105255,TEXT,28,OK,15
1772608105255,TEXT,34,OK,5
1772608105255,TEXT,27,OK,7
1772608105255,TEXT,26,OK,19
1772608105255,TEXT,28,OK,19
1772608105255,TEXT,27,OK,18
1772608105266,TEXT,36,OK,12
1772608105266,TEXT,37,OK,9
1772608105286,TEXT,61,OK,12
1772608105288,TEXT,67,OK,5
1772608105294,TEXT,32,OK,15
1772608105300,TEXT,32,OK,8
1772608105300,TEXT,30,OK,19
1772608105300,TEXT,31,OK,14
1772608105302,TEXT,74,OK,9
1772608105302,TEXT,32,OK,3
1772608105309,TEXT,29,OK,7
1772608105310,TEXT,39,OK,6
1772608105310,TEXT,29,OK,18
1772608105310,TEXT,39,OK,5
1772608105310,TEXT,31,OK,16
1772608105310,JOIN,31,OK,6
1772608105310,TEXT,38,OK,3
1772608105310,TEXT,31,OK,11
1772608105310,TEXT,31,OK,19
1772608105310,TEXT,31,OK,2
1772608105310,TEXT,30,OK,13
1772608105314,TEXT,28,OK,6
1772608105320,TEXT,32,OK,12
1772608105324,TEXT,36,OK,8
1772608105324,TEXT,36,OK,11
1772608105333,TEXT,64,OK,14
1772608105335,TEXT,34,OK,13
1772608105341,TEXT,62,OK,7
1772608105341,JOIN,62,OK,16
1772608105386,TEXT,61,OK,6
1772608105386,TEXT,63,OK,11
1772608105386,TEXT,61,OK,12
1772608105386,TEXT,52,OK,1
1772608105386,TEXT,55,OK,13
1772608105386,TEXT,55,OK,8
1772608105386,LEAVE,52,OK,18
1772608105386,TEXT,55,OK,18
1772608105390,TEXT,55,OK,18
1772608105390,TEXT,67,OK,1
1772608105390,TEXT,55,OK,2
1772608105390,TEXT,56,OK,11
1772608105390,TEXT,54,OK,15
1772608105390,TEXT,56,OK,16
1772608105394,TEXT,60,OK,10
1772608105394,TEXT,59,OK,20
1772608105394,TEXT,52,OK,4
1772608105394,TEXT,60,OK,12
1772608105394,TEXT,50,OK,20
1772608105394,TEXT,26,OK,7
1772608105394,TEXT,53,OK,11
1772608105394,TEXT,50,OK,10
1772608105394,TEXT,50,OK,17
1772608105394,TEXT,60,OK,6
1772608105394,JOIN,26,OK,18
1772608105394,TEXT,60,OK,5
1772608105394,TEXT,44,OK,13
1772608105395,TEXT,44,OK,16
1772608105395,TEXT,44,OK,10
1772608105395,TEXT,60,OK,2
1772608105395,TEXT,26,OK,2
1772608105395,TEXT,72,OK,5
1772608105395,TEXT,26,OK,16
1772608105395,TEXT,26,OK,8
1772608105395,TEXT,26,OK,5
1772608105404,TEXT,306,OK,18
1772608105405,TEXT,215,OK,3
1772608105405,TEXT,189,OK,17
1772608105405,TEXT,185,OK,8
1772608105406,TEXT,186,OK,19
1772608105407,TEXT,179,OK,14
1772608105407,TEXT,641,OK,2
1772608105407,TEXT,178,OK,18
1772608105407,JOIN,802,OK,9
1772608105408,TEXT,98,OK,1
1772608105410,TEXT,195,OK,18
1772608105410,TEXT,509,OK,15
1772608105410,TEXT,181,OK,9
1772608105410,TEXT,421,OK,9
1772608105411,TEXT,445,OK,18
1772608105411,JOIN,643,OK,9
1772608105411,TEXT,444,OK,3
1772608105411,TEXT,179,OK,3
1772608105411,TEXT,535,OK,1
1772608105411,TEXT,445,OK,6
1772608105412,TEXT,454,OK,6
1772608105412,TEXT,433,OK,8
1772608105412,TEXT,447,OK,17
1772608105412,TEXT,433,OK,15
1772608105412,TEXT,544,OK,12
1772608105412,TEXT,431,OK,9
1772608105412,TEXT,817,OK,3
1772608105412,TEXT,427,OK,8
1772608105412,TEXT,432,OK,5
1772608105412,TEXT,78,OK,1
1772608105412,TEXT,536,OK,11
1772608105412,TEXT,652,OK,18
1772608105413,TEXT,544,OK,4
1772608105413,TEXT,512,OK,13
1772608105413,TEXT,545,OK,20
1772608105413,TEXT,559,OK,8
1772608105413,TEXT,541,OK,16
1772608105413,TEXT,511,OK,8
1772608105414,TEXT,237,OK,7
1772608105414,TEXT,80,OK,11
1772608105414,TEXT,550,OK,7
1772608105415,TEXT,543,OK,12
1772608105416,TEXT,265,OK,6
1772608105416,TEXT,251,OK,7
1772608105418,TEXT,49,OK,10
1772608105421,TEXT,53,OK,18
1772608105421,TEXT,25,OK,1
1772608105421,TEXT,71,OK,10
1772608105422,TEXT,26,OK,6
1772608105422,TEXT,26,OK,10
1772608105422,LEAVE,26,OK,15
1772608105423,TEXT,28,OK,1
1772608105423,TEXT,27,OK,10
1772608105423,TEXT,27,OK,15
1772608105423,TEXT,79,OK,17
1772608105423,TEXT,89,OK,6
1772608105423,TEXT,55,OK,2
1772608105423,TEXT,57,OK,13
1772608105424,LEAVE,283,OK,6
1772608105424,TEXT,28,OK,12
1772608105424,TEXT,28,OK,9
1772608105424,TEXT,28,OK,15
1772608105424,TEXT,27,OK,7
1772608105425,TEXT,56,OK,13
1772608105425,TEXT,28,OK,5
1772608105425,TEXT,28,OK,2
1772608105425,TEXT,29,OK,3
1772608105425,TEXT,27,OK,17
1772608105425,TEXT,28,OK,3
1772608105425,TEXT,28,OK,5
1772608105426,TEXT,29,OK,9
1772608105427,TEXT,30,OK,13
1772608105427,TEXT,30,OK,1
1772608105434,TEXT,292,OK,5
1772608105435,TEXT,17,OK,14
1772608105435,TEXT,17,OK,20
1772608105435,TEXT,17,OK,8
1772608105444,TEXT,311,OK,17
1772608105445,JOIN,49,OK,10
1772608105445,TEXT,26,OK,7
1772608105445,TEXT,225,OK,17
1772608105447,TEXT,327,OK,9
1772608105448,TEXT,86,OK,9
1772608105452,TEXT,27,OK,11
1772608105455,TEXT,341,OK,4
1772608105455,TEXT,338,OK,16
1772608105455,TEXT,58,OK,9
1772608105455,TEXT,30,OK,9
1772608105455,TEXT,57,OK,6
1772608105455,TEXT,59,OK,12
1772608105455,TEXT,29,OK,5
1772608105455,TEXT,346,OK,9
1772608105456,TEXT,347,OK,9
1772608105461,TEXT,42,OK,14
1772608105461,TEXT,42,OK,20
1772608105461,TEXT,42,OK,8
1772608105461,TEXT,372,OK,2
1772608105461,TEXT,42,OK,8
1772608105461,TEXT,42,OK,8
1772608105461,JOIN,375,OK,7
1772608105461,TEXT,384,OK,13
1772608105468,TEXT,29,OK,10
1772608105468,TEXT,99,OK,13
1772608105468,TEXT,43,OK,13
1772608105468,TEXT,391,OK,4
1772608105469,TEXT,398,OK,11
1772608105469,TEXT,23,OK,4
1772608105469,TEXT,411,OK,19
1772608105469,TEXT,417,OK,10
1772608105469,TEXT,335,OK,19
1772608105469,TEXT,24,OK,15
1772608105470,TEXT,747,OK,11
1772608105471,TEXT,332,OK,11
1772608105473,TEXT,711,OK,19
1772608105474,TEXT,736,OK,1
1772608105477,TEXT,737,OK,2
1772608105477,TEXT,31,OK,19
1772608105477,TEXT,825,OK,2
1772608105478,TEXT,27,OK,18
1772608105478,TEXT,199,OK,2
1772608105478,TEXT,832,OK,5
1772608105480,TEXT,743,OK,19
1772608105484,TEXT,616,OK,19
1772608105484,TEXT,88,OK,19
1772608105484,TEXT,368,OK,5
1772608105484,TEXT,415,OK,10
1772608105484,JOIN,29,OK,6
1772608105484,TEXT,737,OK,4
1772608105484,TEXT,28,OK,8
1772608105484,TEXT,414,OK,2
1772608105484,TEXT,726,OK,17
1772608105484,TEXT,28,OK,19
1772608105486,TEXT,30,OK,1
1772608105486,TEXT,30,OK,7
1772608105486,TEXT,30,OK,16
1772608105486,TEXT,31,OK,4
1772608105486,TEXT,30,OK,12
1772608105486,TEXT,31,OK,19
1772608105486,TEXT,382,OK,8
1772608105486,TEXT,27,OK,9
1772608105486,TEXT,31,OK,2
1772608105486,TEXT,371,OK,11
1772608105486,TEXT,614,OK,4
1772608105486,TEXT,207,OK,18
1772608105486,TEXT,30,OK,6
1772608105487,TEXT,187,OK,5
1772608105487,TEXT,185,OK,20
1772608105487,TEXT,342,OK,14
1772608105487,TEXT,32,OK,7
1772608105487,TEXT,31,OK,15
1772608105487,TEXT,31,OK,3
1772608105487,TEXT,32,OK,12
1772608105487,TEXT,320,OK,19
1772608105487,TEXT,333,OK,4
1772608105487,TEXT,208,OK,12
1772608105488,TEXT,31,OK,5
1772608105488,TEXT,207,OK,12
1772608105488,TEXT,209,OK,16
1772608105488,JOIN,32,OK,2
1772608105490,TEXT,338,OK,4
1772608105490,TEXT,326,OK,1
1772608105492,TEXT,183,OK,9
1772608105492,TEXT,349,OK,11
1772608105492,LEAVE,217,OK,1
1772608105492,TEXT,191,OK,19
1772608105492,TEXT,862,OK,5
1772608105492,TEXT,220,OK,10
1772608105502,TEXT,197,OK,11
1772608105502,LEAVE,338,OK,11
1772608105502,TEXT,335,OK,5
1772608105502,TEXT,38,OK,1
1772608105502,TEXT,331,OK,13
1772608105502,TEXT,432,OK,12
1772608105502,TEXT,855,OK,7
1772608105502,TEXT,289,OK,7
1772608105502,TEXT,168,OK,7
1772608105502,TEXT,168,OK,7
1772608105502,TEXT,38,OK,15
1772608105502,TEXT,38,OK,8
1772608105502,TEXT,39,OK,10
1772608105502,TEXT,39,OK,4
1772608105502,TEXT,39,OK,17
1772608105502,TEXT,737,OK,15
1772608105502,TEXT,33,OK,19
1772608105502,LEAVE,33,OK,3
1772608105502,LEAVE,746,OK,15
1772608105502,TEXT,282,OK,15
1772608105502,TEXT,39,OK,3
1772608105502,TEXT,98,OK,15
1772608105502,TEXT,430,OK,15
1772608105502,TEXT,56,OK,6
1772608105502,TEXT,232,OK,15
1772608105502,JOIN,873,OK,11
1772608105502,TEXT,359,OK,11
1772608105502,TEXT,52,OK,19
1772608105502,TEXT,514,OK,11
1772608105502,JOIN,359,OK,11
1772608105502,TEXT,46,OK,11
1772608105502,TEXT,39,OK,11
1772608105504,TEXT,86,OK,11
1772608105504,TEXT,109,OK,20
1772608105504,TEXT,49,OK,20
1772608105504,TEXT,26,OK,8
1772608105504,TEXT,350,OK,4
1772608105504,LEAVE,74,OK,1
1772608105505,TEXT,875,OK,5
1772608105505,TEXT,26,OK,3
1772608105505,TEXT,27,OK,18
1772608105506,TEXT,226,OK,18
1772608105506,TEXT,285,OK,10
1772608105506,TEXT,278,OK,5
1772608105506,TEXT,82,OK,8
1772608105506,TEXT,82,OK,8
1772608105507,TEXT,294,OK,2
1772608105507,TEXT,227,OK,10
1772608105508,TEXT,28,OK,12
1772608105508,JOIN,90,OK,11
1772608105508,TEXT,343,OK,5
1772608105512,TEXT,116,OK,5
1772608105512,TEXT,93,OK,11
1772608105512,JOIN,93,OK,13
1772608105512,JOIN,93,OK,11
1772608105512,LEAVE,93,OK,13
1772608105512,LEAVE,143,OK,19
1772608105512,TEXT,144,OK,19
1772608105513,TEXT,87,OK,4
1772608105516,JOIN,207,OK,4
1772608105516,TEXT,210,OK,20
1772608105516,TEXT,604,OK,18
1772608105516,TEXT,28,OK,3
1772608105517,TEXT,28,OK,19
1772608105517,TEXT,28,OK,9
1772608105518,TEXT,61,OK,12
1772608105518,TEXT,889,OK,12
1772608105518,TEXT,29,OK,4
1772608105519,TEXT,31,OK,11
1772608105519,TEXT,63,OK,15
1772608105519,TEXT,63,OK,3
1772608105519,TEXT,891,OK,14
1772608105519,TEXT,912,OK,4
1772608105519,TEXT,913,OK,6
1772608105521,TEXT,892,OK,13
1772608105522,TEXT,944,OK,9
1772608105523,TEXT,833,OK,9
1772608105525,TEXT,68,OK,9
1772608105526,TEXT,896,OK,7
1772608105527,TEXT,760,OK,20
1772608105527,TEXT,248,OK,7
1772608105527,TEXT,49,OK,8
1772608105528,TEXT,50,OK,8
1772608105528,TEXT,248,OK,20
1772608105529,TEXT,65,OK,6
1772608105530,TEXT,70,OK,20
1772608105531,TEXT,75,OK,7
1772608105531,TEXT,54,OK,12
1772608105532,TEXT,76,OK,1
1772608105532,TEXT,448,OK,4
1772608105532,TEXT,93,OK,6
1772608105532,TEXT,71,OK,11
1772608105532,TEXT,93,OK,6
1772608105533,TEXT,76,OK,6
1772608105534,TEXT,95,OK,18
1772608105535,TEXT,108,OK,9
1772608105535,TEXT,96,OK,8
1772608105535,TEXT,58,OK,7
1772608105535,TEXT,100,OK,9
1772608105536,TEXT,112,OK,19
1772608105537,TEXT,103,OK,1
1772608105538,TEXT,103,OK,17
1772608105538,TEXT,107,OK,17
1772608105538,TEXT,119,OK,9
1772608105538,TEXT,626,OK,11
1772608105538,TEXT,134,OK,12
1772608105538,TEXT,114,OK,7
1772608105540,TEXT,951,OK,7
1772608105540,TEXT,441,OK,11
1772608105540,TEXT,145,OK,9
1772608105540,TEXT,81,OK,11
1772608105540,TEXT,144,OK,15
1772608105540,TEXT,143,OK,18
1772608105540,LEAVE,143,OK,1
1772608105540,TEXT,177,OK,16
1772608105540,TEXT,136,OK,7
1772608105540,TEXT,350,OK,7
1772608105541,TEXT,426,OK,4
1772608105541,TEXT,210,OK,3
1772608105542,JOIN,620,OK,9
1772608105544,TEXT,487,OK,11
1772608105544,TEXT,316,OK,11
1772608105544,TEXT,565,OK,9
1772608105544,LEAVE,316,OK,9
1772608105544,JOIN,273,OK,8
1772608105544,TEXT,242,OK,5
1772608105544,TEXT,88,OK,9
1772608105545,TEXT,73,OK,8
1772608105545,LEAVE,579,OK,6
1772608105546,LEAVE,579,OK,3
1772608105547,TEXT,427,OK,8
1772608105548,TEXT,628,OK,15
1772608105549,TEXT,745,OK,16
1772608105551,TEXT,397,OK,6
1772608105551,TEXT,325,OK,9
1772608105551,TEXT,246,OK,6
1772608105551,TEXT,147,OK,6
1772608105551,TEXT,155,OK,15
1772608105551,TEXT,226,OK,19
1772608105551,TEXT,201,OK,5
1772608105551,TEXT,209,OK,18
1772608105551,TEXT,209,OK,13
1772608105551,TEXT,88,OK,13
1772608105551,TEXT,220,OK,6
1772608105551,TEXT,212,OK,17
1772608105551,TEXT,215,OK,15
1772608105553,TEXT,629,OK,12
1772608105553,TEXT,633,OK,4
1772608105553,TEXT,114,OK,15
1772608105553,TEXT,114,OK,15
1772608105554,LEAVE,219,OK,18
1772608105555,TEXT,220,OK,18
1772608105556,TEXT,742,OK,14
1772608105557,TEXT,215,OK,1
1772608105557,TEXT,742,OK,14
1772608105558,TEXT,506,OK,14
1772608105559,LEAVE,638,OK,16
1772608105560,TEXT,966,OK,6
1772608105563,TEXT,94,OK,3
1772608105563,TEXT,100,OK,15
1772608105563,TEXT,100,OK,4
1772608105564,TEXT,639,OK,16
1772608105564,TEXT,73,OK,14
